Hardware,PC case,Case1,0,High-quality gaming case with RGB lighting
Hardware,PC case,Case2,10,High-quality gaming case with RGB lighting
Hardware,PC case,Case3,10,High-quality gaming case with RGB lighting
Hardware,Motherboard,motherboard1,10,High-quality motherboard
Hardware,Motherboard,motherboard2,10,High-quality motherboard
Hardware,Motherboard,motherboard3,10,High-quality motherboard
Hardware,RAM,16GB,30,16GB DDR4 RAM for high performance
Hardware,RAM,8GB,30,8GB DDR4 RAM for high performance
Hardware,RAM,4GB,30,4GB DDR4 RAM for high performance
Hardware,Storage,SSD 1TB,20,High-speed 1TB SSD for fast data access
Hardware,Storage,SSD 512GB,20,High-speed 512GB SSD for fast data access
Hardware,Storage,SSD 256GB,20,High-speed 256GB SSD for fast data access
Hardware,Monitor,8K Monitor,10,27-inch 8K UHD monitor with HDR support
Hardware,Monitor,4K Monitor,10,24-inch 4K UHD monitor with HDR support
Hardware,Monitor,2K Monitor,10,24-inch 2K UHD monitor with HDR support
Hardware,Input Device,Wireless Keyboard and Mouse1,10,wireless keyboard and mouse combo
Hardware,Input Device,Wireless Keyboard and Mouse2,10,wireless keyboard and mouse combo
Hardware,Input Device,Wireless Keyboard and Mouse3,10,wireless keyboard and mouse combo
Software,Web Browser,Firefox,100,Firefox browser for secure and fast browsing
Software,Web Browser,Chrome,100,Chrome browser for secure and fast browsing
Software,Web Browser,Microsoft Edge,100,Microsoft Edge browser for secure and fast browsing
Software,Office,LibreOffice,20,Free and open-source office suite for document editing
Software,Office,OfficePro,20,Pro verion office suite for document editing
Software,IDE,Visual Studio Code,30,Lightweight IDE with extensive plugin support
Software,IDE,IntelliJ,30,Java IDE with
Software,IDE,Android Studio,30,Android application editor
